Time,oscIndex1_20190603_slice7,phaseNumber_20190603_slice7,oscIndex1_20190603_slice9,phaseNumber_20190603_slice9,oscIndex1_20190604_slice2,phaseNumber_20190604_slice2,oscIndex1_20190604_slice3,phaseNumber_20190604_slice3,oscIndex1_20190604_slice4,phaseNumber_20190604_slice4,oscIndex1_20190604_slice7,phaseNumber_20190604_slice7,oscIndex1_20190606_slice1,phaseNumber_20190606_slice1,oscIndex1_20190606_slice2,phaseNumber_20190606_slice2,oscIndex1_20190606_slice3,phaseNumber_20190606_slice3,oscIndex1_20190607_slice4,phaseNumber_20190607_slice4
2 min,0.93669650507502,2,0.922946024134376,2,0.995068445138108,2,0.945896510018699,2,0.979840939240062,2,1,2,0.748990439302306,2,0.98832089862775,2,0.989229828685494,2,0.995762459990925,2
3 min,0.942687646085251,2,0.841286556720457,2,0.979791806225513,2,0.915763892284478,2,0.987296812418576,2,0.979392437039976,2,0.730093198491205,2,0.975375416148519,2,0.968473859738137,2,1,2
4 min,0.921078928982232,2,0.926074425523152,2,0.989517141728087,2,0.951548018152198,2,0.983476469852606,2,0.99926823503394,2,0.718163079792559,2,0.966832395246797,2,0.984808008724488,2,0.993262357729466,2
5 min,0.934720484012245,2,0.922092684699551,2,0,2,0.874615907298242,2,0.982353376788752,2,0.992503007072172,2,0.745204115004012,2,0.94683245969214,2,0.992624936446152,2,1,2
6 min,0.921880096163121,2,0.948453768239381,2,0.991843665639188,2,0.944764847338975,2,0.976541588913983,2,0.984808539682868,2,0.726326935354101,2,0.962693234706756,2,0.977393427297275,2,0.997016852166476,2
7 min,0.946482650680294,2,0.946507729874264,2,0.988032381704609,2,0.946758164832625,2,0.953482236172696,2,0.996326411384372,2,0.72129069903543,2,0.95865988158464,2,0.966912716671974,2,1,2
8 min,0.947940921992237,2,0.965113926349593,2,0.992824706134015,2,0.918325991498657,2,0.976939532504655,2,0.997024872944826,2,0.639523569210101,2,0.958979195696484,2,0.985686930603181,2,1,2
9 min,0.930714204382724,2,0.976248102174864,2,0.980733334720578,2,0.858020431948329,2,0.988515173689112,2,0.999045110705632,2,0.668549841520931,2,0.943255354470712,2,0.976702168080949,2,0.995236174799372,2
10 min,0.953853098729977,2,0.935430708051785,2,0.997605015779657,2,0.88887372188963,2,0.986953441754122,2,0.989558049890963,2,0.953881224695909,2,0.959234711394918,2,0.945153625619906,2,0.998763600648389,2
11 min,0.936841631317128,2,0.906709468054677,2,0.98847744623555,2,0.931910297676711,2,0.971733501875923,2,0.995860617230564,2,0.622551764229812,2,0.964679073686092,2,0.988110246832772,2,0.994595728279435,2
