Time,nSpikesPerBurst_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurst_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurst_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurst_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurst_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurst_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurst_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurst_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurst_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurst_20190607_slice4,phaseNumber_20190607_slice4
18 min,9.29545454545454,2,8.33333333333333,2,9.10714285714286,2,7.9375,2,18.1875,2,13,2,19,2,11.3333333333333,2,8.88888888888889,2,15.375,2
19 min,11.3611111111111,2,9.08333333333333,2,7.97058823529412,2,9.78260869565217,2,14.5294117647059,2,14,2,23.5882352941176,2,16.4090909090909,2,8.77777777777778,2,15.2727272727273,2
20 min,8.06976744186047,2,8.22222222222222,2,6.83333333333333,2,12.4,2,16.695652173913,2,14.1875,2,17.1153846153846,2,14.6818181818182,2,9,2,12.2142857142857,2
21 min,8.0188679245283,2,11.5,2,8.73809523809524,2,9.8695652173913,2,15.9473684210526,2,12.625,2,21.9411764705882,2,16.6666666666667,2,8.15384615384615,2,11.7666666666667,2
22 min,9.1578947368421,2,5.46153846153846,2,13,2,7.61904761904762,2,12.2857142857143,2,11.6111111111111,2,22.8333333333333,2,10.6206896551724,2,7.91428571428571,2,11.5666666666667,2
23 min,8.11363636363636,2,8.9,2,7.9,2,11.4,2,12.04,2,15.2666666666667,2,23.5294117647059,2,14.3076923076923,2,7.18181818181818,2,16.64,2
24 min,9.86486486486486,2,10,2,8.94444444444444,2,9.65,2,20.0833333333333,2,12.1333333333333,2,19.9545454545455,2,9.29166666666667,2,8.68181818181818,2,16.7727272727273,2
25 min,10.4358974358974,2,13.1428571428571,2,9.45,2,9.38888888888889,2,18.5555555555556,2,11.2857142857143,2,23,2,16.4166666666667,2,6.02941176470588,2,15.48,2
26 min,12.4705882352941,2,9.18181818181818,2,6.68,2,13.8,2,15.375,2,14.6153846153846,2,23.6842105263158,2,14.56,2,8.72,2,14.6551724137931,2
27 min,10.8,2,6.5,2,7.46153846153846,2,10.5714285714286,2,10,2,11.5294117647059,2,26.6666666666667,2,17.4347826086957,2,11.375,2,11.78125,2
